v2	V(vout)
6.040000000000004e-01	5.705546e-01
6.050000000000004e-01	5.715405e-01
6.060000000000004e-01	5.725263e-01
6.070000000000004e-01	5.735122e-01
6.080000000000004e-01	5.744981e-01
6.090000000000004e-01	5.754840e-01
6.100000000000004e-01	5.764698e-01
6.110000000000004e-01	5.774558e-01
6.120000000000004e-01	5.784416e-01
6.130000000000004e-01	5.794275e-01
6.140000000000004e-01	5.804134e-01
6.150000000000004e-01	5.813993e-01
6.160000000000004e-01	5.823852e-01
6.170000000000004e-01	5.833710e-01
6.180000000000004e-01	5.843570e-01
6.190000000000004e-01	5.853429e-01
6.200000000000004e-01	5.863287e-01
6.210000000000004e-01	5.873147e-01
6.220000000000004e-01	5.883005e-01
6.230000000000004e-01	5.892864e-01
6.240000000000004e-01	5.902723e-01
6.250000000000004e-01	5.912582e-01
6.260000000000004e-01	5.922441e-01
6.270000000000004e-01	5.932300e-01
6.280000000000004e-01	5.942159e-01
6.290000000000004e-01	5.952018e-01
6.300000000000004e-01	5.961877e-01
6.310000000000004e-01	5.971736e-01
6.320000000000005e-01	5.981595e-01
6.330000000000005e-01	5.991454e-01
6.340000000000005e-01	6.001313e-01
6.350000000000005e-01	6.011172e-01
6.360000000000005e-01	6.021031e-01
6.370000000000005e-01	6.030890e-01
6.380000000000005e-01	6.040748e-01
6.390000000000005e-01	6.050607e-01
6.400000000000005e-01	6.060466e-01
6.410000000000005e-01	6.070325e-01
6.420000000000005e-01	6.080184e-01
6.430000000000005e-01	6.090043e-01
6.440000000000005e-01	6.099902e-01
6.450000000000005e-01	6.109760e-01
6.460000000000005e-01	6.119619e-01
6.470000000000005e-01	6.129478e-01
6.480000000000005e-01	6.139337e-01
6.490000000000005e-01	6.149195e-01
6.500000000000005e-01	6.159054e-01
6.510000000000005e-01	6.168913e-01
6.520000000000005e-01	6.178772e-01
6.530000000000005e-01	6.188630e-01
6.540000000000005e-01	6.198489e-01
6.550000000000005e-01	6.208348e-01
6.560000000000005e-01	6.218206e-01
6.570000000000005e-01	6.228065e-01
6.580000000000005e-01	6.237924e-01
6.590000000000005e-01	6.247783e-01
6.600000000000005e-01	6.257641e-01
6.610000000000005e-01	6.267500e-01
6.620000000000005e-01	6.277359e-01
6.630000000000005e-01	6.287217e-01
6.640000000000005e-01	6.297075e-01
6.650000000000005e-01	6.306934e-01
6.660000000000005e-01	6.316792e-01
6.670000000000005e-01	6.326651e-01
6.680000000000005e-01	6.336509e-01
6.690000000000005e-01	6.346368e-01
6.700000000000005e-01	6.356226e-01
6.710000000000005e-01	6.366084e-01
6.720000000000005e-01	6.375943e-01
6.730000000000005e-01	6.385801e-01
6.740000000000005e-01	6.395659e-01
6.750000000000005e-01	6.405518e-01
6.760000000000005e-01	6.415376e-01
6.770000000000005e-01	6.425235e-01
6.780000000000005e-01	6.435093e-01
6.790000000000005e-01	6.444951e-01
6.800000000000005e-01	6.454809e-01
6.810000000000005e-01	6.464667e-01
6.820000000000005e-01	6.474525e-01
6.830000000000005e-01	6.484383e-01
6.840000000000005e-01	6.494242e-01
6.850000000000005e-01	6.504100e-01
6.860000000000005e-01	6.513958e-01
6.870000000000005e-01	6.523816e-01
6.880000000000005e-01	6.533674e-01
6.890000000000005e-01	6.543532e-01
6.900000000000005e-01	6.553390e-01
6.910000000000005e-01	6.563248e-01
6.920000000000005e-01	6.573106e-01
6.930000000000005e-01	6.582963e-01
6.940000000000005e-01	6.592821e-01
6.950000000000005e-01	6.602679e-01
6.960000000000005e-01	6.612538e-01
6.970000000000005e-01	6.622395e-01
6.980000000000005e-01	6.632253e-01
6.990000000000005e-01	6.642111e-01
7.000000000000005e-01	6.651968e-01
7.010000000000005e-01	6.661826e-01
7.020000000000005e-01	6.671684e-01
7.030000000000005e-01	6.681542e-01
7.040000000000005e-01	6.691399e-01
7.050000000000005e-01	6.701257e-01
7.060000000000005e-01	6.711115e-01
7.070000000000005e-01	6.720972e-01
7.080000000000005e-01	6.730829e-01
7.090000000000005e-01	6.740687e-01
7.100000000000005e-01	6.750544e-01
7.110000000000005e-01	6.760402e-01
7.120000000000005e-01	6.770259e-01
7.130000000000005e-01	6.780117e-01
7.140000000000005e-01	6.789974e-01
7.150000000000005e-01	6.799831e-01
7.160000000000005e-01	6.809689e-01
7.170000000000005e-01	6.819546e-01
7.180000000000005e-01	6.829404e-01
7.190000000000005e-01	6.839261e-01
7.200000000000005e-01	6.849118e-01
7.210000000000005e-01	6.858975e-01
7.220000000000005e-01	6.868833e-01
7.230000000000005e-01	6.878690e-01
7.240000000000005e-01	6.888547e-01
7.250000000000005e-01	6.898404e-01
7.260000000000005e-01	6.908261e-01
7.270000000000005e-01	6.918118e-01
7.280000000000005e-01	6.927975e-01
7.290000000000005e-01	6.937832e-01
7.300000000000005e-01	6.947689e-01
7.310000000000005e-01	6.957546e-01
7.320000000000005e-01	6.967403e-01
7.330000000000005e-01	6.977260e-01
