time	V(clk_amp)	V(clk_double)	V(clk_load)	V(clk_sample)	V(comp_out)
4.201468103752497e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800004e+00
4.202347364204546e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800002e+00
4.204105885108646e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800001e+00
4.205751369712207e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.207616200631152e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.209116224894171e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.210761039934113e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.211865323911654e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800002e+00
4.213193875551170e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800008e+00
4.213221042719893e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800011e+00
4.213275377057340e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800025e+00
4.213384045732233e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800064e+00
4.213513501237042e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799477e+00
4.213582313210330e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.793893e+00
4.213651983986053e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.767045e+00
4.213710028876181e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.713406e+00
4.213779220632073e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.618777e+00
4.213853408507899e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.478340e+00
4.213883554202243e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.349019e+00
4.213905106102964e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.135869e+00
4.213920421267415e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.498847e-01
4.213938868143487e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.792409e-01
4.213949006808765e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.431571e-01
4.213957022752868e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.057924e-02
4.213966515545376e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.486929e-03
4.213974943755027e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.955469e-03
4.213985012289291e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.348827e-03
4.214005149357816e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.644650e-04
4.214043119361750e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.075422e-04
4.214077644581352e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.966904e-04
4.214121729482907e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.315480e-04
4.214197874391935e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.728907e-04
4.214313433395108e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.032779e-04
4.214389692633566e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.707260e-05
4.214482643647060e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.259263e-06
4.214554370938966e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.380705e-05
4.214636301671069e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.027249e-05
4.214724047171940e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.573311e-06
4.214898914040800e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-7.521808e-06
4.215221344218937e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.823628e-06
4.215619633152238e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.736852e-06
4.216078873508229e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.272622e-05
4.216086023905024e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.983166e-06
4.216100324698614e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.113772e-07
4.216103899897012e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.173237e-07
4.216111050293807e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.281354e-06
4.216125351087397e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.184317e-06
4.216128926285795e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.187176e-06
4.216136076682590e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.213605e-06
4.216178979063361e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.146566e-06
4.216236182237723e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.064349e-06
4.216350588586447e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.197862e-07
4.216579401283893e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.886749e-07
4.216905792849761e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.509461e-07
4.217296573508648e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.720544e-07
