time,V(clk_amp),V(clk_double),V(clk_load),V(clk_sample),V(comp_out)
4.51E-07,0,3,3,0,1.8
4.52E-07,0,3,3,0,1.8
4.53E-07,0,3,3,0,1.8
4.54E-07,0,3,3,0,1.8
4.55072E-07,0,3,3,0,1.8
4.56702E-07,0,3,3,0,1.8
4.57603E-07,0,3,3,0,1.8
4.58385E-07,0,3,3,0,1.8
4.59251E-07,0,3,3,0,1.8
4.60233E-07,0,3,3,0,1.8
4.61005E-07,0,3,3,0,1.8
4.61438E-07,0,3,3,0,1.8
4.61788E-07,0,3,3,0,1.8
4.62298E-07,0,3,3,0,1.8
4.6264E-07,0,3,3,0,1.8
4.62947E-07,0,3,3,0,1.8
4.6329E-07,0,3,3,0,1.8
4.63791E-07,0,3,3,0,1.8
4.64359E-07,0,3,3,0,1.8
4.64983E-07,0,3,3,0,1.8
4.6577E-07,0,3,3,0,1.8
4.66785E-07,0,3,3,0,1.8
4.6812E-07,0,3,3,0,1.8
4.70149E-07,0,3,3,0,1.8
4.7232E-07,0,3,3,0,1.8
4.74867E-07,0,3,3,0,1.8
4.78962E-07,0,3,3,0,1.8
4.83845E-07,0,3,3,0,1.8
4.88728E-07,0,3,3,0,1.8
4.9361E-07,0,3,3,0,1.8
4.98493E-07,0,3,3,0,1.8
5.03376E-07,0,3,3,0,1.8
5.45117E-07,0,3,3,0,1.8
5.5E-07,0,3,3,0,1.8
5.5E-07,0,3,3,0,1.8
5.5E-07,0,3,0,0,1.8
5.5E-07,0,3,0,0,1.8
5.5E-07,0,3,0,0,1.8
5.5E-07,0,3,0,0,1.8
5.5E-07,0,3,0,0,1.8
5.5E-07,0,3,0,0,1.8
5.5E-07,0,3,0,0,1.8
5.5E-07,0,3,0,0,1.8
5.5E-07,0,3,0,0,1.8
5.5E-07,0,3,0,0,1.8
5.5E-07,0,3,0,0,1.8
5.50001E-07,0,3,0,0,1.8
5.50002E-07,0,3,0,0,1.8
5.50003E-07,0,3,0,0,1.8
5.50006E-07,0,3,0,0,1.8
5.50013E-07,0,3,0,0,1.8
5.50026E-07,0,3,0,0,1.8
5.50052E-07,0,3,0,0,1.8
5.50104E-07,0,3,0,0,1.8
